country,country3,US,color,happiness,GDP_USD_2018,HDIrank,HDIindex,HDI_cat,SPI,genderequality_index,infantmort,birth_MF,sixty_MF,logGDP
Albania,ALB,Non US,#545454,4.511100769042969,11883682171,68,0.7817005590918955,High,70.85,0.703645707447106,0.0081,76.4,20.8,23.198432049911116
Algeria,DZA,Non US,#545454,5.340853691101074,159049e6,85,0.7524951334256267,High,65.64,0.641996088674862,0.021,76.4,21.9,25.792478167790772
Argentina,ARG,Non US,#545454,6.427221298217773,554861e6,47,0.8217587592988095,Very High,74.48,0.735213941472659,0.009699999999999999,76.9,21.8,27.041983468874445
Armenia,ARM,Non US,#545454,4.325471878051758,10546135160,83,0.7492645868098929,High,69.66,0.669264795633783,0.0119,74.8,19.6,23.079025294206204
Australia,AUS,Non US,#545454,7.250080108642578,120804e7,3,0.9378680440732646,Very High,87.66,0.721366191797363,0.0031,82.9,25.6,27.820020327475742
Austria,AUT,Non US,#545454,7.04807186126709,3908e8,20,0.9058221188119048,Very High,86.5,0.715833170064506,0.003,81.9,24.4,26.69146175711504
Bangladesh,BGD,Non US,#545454,4.556140899658203,221415e6,136,0.5970601916446718,Medium,50.58,0.698260026048992,0.028300000000000002,72.7,19.6,26.12330460560348
Belarus,BLR,Non US,#545454,5.177899360656738,47722657821,53,0.8049578008644142,Very High,71.02,0.73693207530788,0.0029,74.2,19.6,24.588672128790282
Belgium,BEL,Non US,#545454,6.948936462402344,467546e6,17,0.9145380307545622,Very High,86.73,0.745150454429596,0.0031,81.2,24.1,26.870763576556538
Benin,BEN,Non US,#545454,4.007357597351074,8573159697,163,0.5120965226501945,Low,48.01,0.635570185757902,0.06509999999999999,61.1,17.2,22.871902194371085
Bolivia,BOL,Non US,#545454,5.769723415374756,33941126194,118,0.6888710189136826,Medium,63.49,0.745746811791012,0.029,71.5,21.4,24.247893278111235
Botswana,BWA,Non US,#545454,3.498936653137207,15648700274,101,0.712170623292188,High,61.95,0.714995453798085,0.032299999999999995,66.1,17.4,23.473653700899103
Brazil,BRA,Non US,#545454,6.374817371368408,179399e7,79,0.7581762474291328,High,73.91,0.687305173804868,0.0146,75.1,21.7,28.215463305413607
Bulgaria,BGR,Non US,#545454,4.837560653686523,53240893665,51,0.8095956041141686,Very High,74.24,0.725710839378402,0.0067,74.8,19.8,24.698092615925983
Burkina Faso,BFA,Non US,#545454,4.205634593963623,11448781714,183,0.42021153170421266,Low,43.07,0.63960518464973,0.0526,60.3,15.5,23.161149160761706
Cambodia,KHM,Non US,#545454,4.461259365081787,20016747754,146,0.5762203625157908,Medium,47.09,0.658072016852354,0.0263,69.4,17.4,23.71983514778693
Cameroon,CMR,Non US,#545454,4.816232204437256,32217537943,151,0.5529673365211704,Medium,44.5,0.684065980102721,0.056600000000000004,58.1,16.5,24.195776797840104
Canada,CAN,Non US,#545454,7.244845867156982,153577e7,12,0.9222756302756803,Very High,87.65,0.730934531732342,0.0046,82.8,25.7,28.060052999858605
Chad,TCD,Non US,#545454,4.029350280761719,9412034269,186,0.40530628922982864,Low,26.92,0.58669275278511,0.075,54.3,15.9,22.965254948795124
Chile,CHL,Non US,#545454,6.579056262969971,250036e6,44,0.8415329699937913,Very High,80.47,0.69940086236962,0.0066,79.5,23.4,26.244870744441652
China,CHN,Non US,#545454,5.324955940246582,11191e9,86,0.7479097838809821,High,62.67,0.675823711108177,0.0086,76.4,19.9,30.04613099976444
Colombia,COL,Non US,#545454,6.233715057373047,280091e6,90,0.7466609659990139,High,70.58,0.726711886397693,0.013099999999999999,75.1,21.8,26.3583803873146
Costa Rica,CRI,Non US,#545454,7.135617733001709,56988989897,63,0.7909195209615656,High,80.97,0.736218638195334,0.008,79.6,24.1,24.766123926421468
Croatia,HRV,Non US,#545454,5.41687536239624,51338524831,46,0.8277577378058478,Very High,78.32,0.699881023493802,0.004,78.3,21.5,24.661707278649754
Cyprus,CYP,Non US,#545454,5.794618606567383,20153871681,32,0.8670238119155721,Very High,81.85,0.68436099110498,0.0022,80.7,22.8,23.72666224985967
Czechia,CZE,Non US,#545454,6.735627174377441,195305e6,27,0.8847752951250055,Very High,83.72,0.690061221574959,0.0026,79.2,22.1,25.99782827613983
Denmark,DNK,Non US,#545454,7.5577826499938965,3069e8,11,0.9280172267430499,Very High,89.25,0.753507118352294,0.0037,81.2,23.8,26.449787798572103
Dominican Republic,DOM,Non US,#545454,5.238698482513428,72342967648,94,0.7326077928147052,High,64.92,0.675976248603899,0.0256,73.5,22,25.004684086239646
Ecuador,ECU,Non US,#545454,6.1154375076293945,98613972e3,86,0.7493852156543074,High,68.86,0.726199445631791,0.0127,76.5,22.8,25.314478792369915
Egypt,EGY,Non US,#545454,4.556740760803223,332928e6,115,0.6939856334162647,Medium,58.28,0.613648168642465,0.019399999999999997,70.5,16.9,26.531192087332542
El Salvador,SLV,Non US,#545454,6.139824867248535,23912227500,121,0.6789223611795083,Medium,64.94,0.701785305361595,0.0129,73.7,21.9,23.89765577593431
Estonia,EST,Non US,#545454,5.649675369262695,23337907619,30,0.8675975481869183,Very High,82.8,0.746539680845755,0.0023,77.8,22.2,23.873344811928458
Ethiopia,ETH,Non US,#545454,4.297848701477051,73000980434,173,0.45669812173396457,Low,38.79,0.662095909891295,0.0425,65.5,18.1,25.013738708607352
Finland,FIN,Non US,#545454,7.659843444824219,238678e6,15,0.9176124305396001,Very High,89.38,0.845046747820689,0.0019,81.4,24.2,26.19838120014504
France,FRA,Non US,#545454,6.475208759307861,246513e7,24,0.8992756919459307,Very High,87.74,0.755010024867116,0.0035,82.9,25.9,28.5332656603693
Georgia,GEO,Non US,#545454,4.448386192321777,14378016732,70,0.7763982107222726,High,69.05,0.680937200806602,0.010199999999999999,72.6,18.3,23.38896626122977
Germany,DEU,Non US,#545454,6.873763084411621,34778e8,5,0.9341518707655013,Very High,88.69,0.765615966510235,0.0032,81,23.6,28.877421025894378
Ghana,GHA,Non US,#545454,4.514411449432373,42803583022,140,0.5876416123144391,Medium,58.19,0.705311813848121,0.037200000000000004,63.4,15.7,24.479887651497506
Greece,GRC,Non US,#545454,5.302619457244873,192691e6,31,0.8682721803704931,Very High,82.7,0.679542758472099,0.004200000000000001,81.2,23.9,25.984353706553666
Guatemala,GTM,Non US,#545454,6.358916282653809,68663653469,127,0.6487081717651998,Medium,58.56,0.666211203650933,0.023899999999999998,73.2,21.3,24.952485834585644
Guinea,GIN,Non US,#545454,3.6028547286987305,9275886117,175,0.4491605523909196,Low,37.56,0.639948184039268,0.0581,59.8,15.3,22.950683979097448
Honduras,HND,Non US,#545454,5.6481547355651855,21643936939,133,0.6143757285857856,Medium,57,0.68958689351546,0.0162,75.2,22.4,23.797991203166937
Hungary,HUN,Non US,#545454,5.448901653289795,125817e6,45,0.8351053138480794,Very High,80.09,0.669481829073327,0.0040999999999999995,76,20.1,25.558094307217956
Iceland,ISL,Non US,#545454,7.510034561157227,20304098101,6,0.9331301121272382,Very High,89.62,0.87367008475847,0.0017,82.4,24.7,23.734088579516307
India,IND,Non US,#545454,4.179177284240723,227423e7,130,0.6360460094561482,Medium,53.87,0.683214946231348,0.033600000000000005,68.8,18,28.452662649501967
Indonesia,IDN,Non US,#545454,5.136325359344482,932256e6,116,0.6913057597481875,Medium,61.59,0.682127845492253,0.0222,69.3,16.7,27.560873292026464
Iran,IRN,Non US,#545454,4.652730941772461,418977e6,60,0.7955311319303151,High,63.06,0.587450695564997,0.013300000000000001,75.7,19.7,26.761081862760463
Ireland,IRL,Non US,#545454,7.040731430053711,304819e6,4,0.9344754829182338,Very High,88.09,0.797463603587526,0.003,81.5,24.1,26.442983994774103
Israel,ISR,Non US,#545454,7.159010887145996,317748e6,22,0.9017548697653387,Very High,82.04,0.719247976653099,0.0029,82.3,24.7,26.484524452739674
Italy,ITA,Non US,#545454,5.954524040222168,185938e7,28,0.8781295258489776,Very High,84.85,0.71855729856537,0.0029,82.8,25,28.25126421475242
Japan,JPN,Non US,#545454,5.95465087890625,494927e7,19,0.9069283257286355,Very High,88.19,0.660199153041424,0.0019,84.2,26.4,29.2302612068862
Jordan,JOR,Non US,#545454,5.271284580230713,38654727746,95,0.7349206701608673,High,69.19,0.603134137672723,0.015099999999999999,74.3,19.3,24.377934926517224
Kazakhstan,KAZ,Non US,#545454,5.5335516929626465,137278e6,58,0.7967461959078902,Very High,65.89,0.717958611958471,0.009699999999999999,71.1,17.7,25.64527390381537
Kenya,KEN,Non US,#545454,4.396127700805664,70875289605,142,0.5845812876109328,Medium,54,0.701887469701293,0.0343,66.7,18.6,24.984187685123544
Kyrgyzstan,KGZ,Non US,#545454,4.856534004211426,6813092066,122,0.6688049807386609,Medium,63.24,0.686683624931819,0.0188,71.4,18,22.64211190193007
Latvia,LVA,Non US,#545454,5.940446376800537,27571513793,41,0.8436965619126446,Very High,78.27,0.754669030162817,0.0039,75,20.7,24.04004896772903
Lebanon,LBN,Non US,#545454,5.270723819732666,49598825982,80,0.7532814265189002,High,66.02,0.597586714377468,0.006900000000000001,76.3,19.8,24.627233000679418
Lesotho,LSO,Non US,#545454,3.8082048892974854,2291319972,159,0.5157027371652727,Low,47.84,0.705897292123715,0.0684,52.9,15.3,21.552393895440762
Liberia,LBR,Non US,#545454,3.3546760082244873,2101e6,181,0.4319399495482801,Low,44.97,0.651843930852252,0.0576,62.9,15.8,21.465679258809274
Lithuania,LTU,Non US,#545454,5.8655524253845215,42773029835,35,0.8548201014312401,Very High,80.94,0.743941581059022,0.0038,75,20.7,24.479173596867902
Luxembourg,LUX,Non US,#545454,6.96734094619751,58631324559,21,0.9034904711109238,Very High,88.86,0.734179388964648,0.0021000000000000003,82.4,24.7,24.794534939497463
Macedonia,MKD,Non US,#545454,5.345746040344238,10745787406,80,0.7562342460222077,High,66.8,0.696209182850267,0.0114,75.9,19.5,23.097779645509977
Madagascar,MDG,Non US,#545454,3.6630859375,10001193315,161,0.5168070378622761,Low,42.2,0.704273580341534,0.0337,66.1,17.1,23.02597025432102
Malawi,MWI,Non US,#545454,3.4764926433563232,5433038647,171,0.47395014966097015,Low,47.9,0.699963413057916,0.0402,64.2,17.4,22.415764417871685
Mali,MLI,Non US,#545454,4.016027927398682,14034980334,182,0.420896861219084,Low,44.69,0.590516500070532,0.0674,58,15.4,23.364818645548016
Mauritania,MRT,Non US,#545454,4.47214937210083,4739298311,159,0.5164198020949057,Low,41.84,0.623778224891117,0.0545,63.9,16.5,22.27915492604103
Mauritius,MUS,Non US,#545454,5.610003471374512,12232463656,65,0.7876342090264797,High,73.79,0.65197417068304,0.012199999999999999,74.8,20.7,23.227359210021564
Mexico,MEX,Non US,#545454,6.8241729736328125,107691e7,74,0.7722166211317996,High,68.65,0.699988871447193,0.012199999999999999,76.6,22.3,27.705116945151403
Moldova,MDA,Non US,#545454,5.577784061431885,6795741776,112,0.6966662491101508,High,67.1,0.741327817844598,0.0135,71.5,17.6,22.6395620435657
Mongolia,MNG,Non US,#545454,5.056999683380127,11183458131,92,0.7425751505305956,High,64.18,0.705409311500611,0.0154,69.8,17.3,23.13770157088857
Montenegro,MNE,Non US,#545454,5.304066181182861,4374130531,50,0.8103067460337161,Very High,71.42,0.681293860394516,0.0035,76.8,20.2,22.19897360123399
Morocco,MAR,Non US,#545454,5.386307239532471,103606e6,123,0.6623283972834622,Medium,64.23,0.596584035223007,0.0209,76,20.5,25.363861080152695
Nepal,NPL,Non US,#545454,5.099539756774902,21131983246,149,0.5693033764385944,Medium,52.68,0.660755081271519,0.0288,70.2,17.6,23.774053523422122
Netherlands,NLD,Non US,#545454,7.540877342224121,777228e6,10,0.9280839714514447,Very High,89.1,0.755820650248204,0.0034,81.6,24,27.378999580563487
New Zealand,NZL,Non US,#545454,7.2256879806518555,189286e6,16,0.9154822900814985,Very High,87.83,0.780711036269186,0.0045,82.2,25.3,25.966524935744243
Nicaragua,NIC,Non US,#545454,6.012739658355713,13184989878,124,0.6566258270342807,Medium,62.47,0.779538035713852,0.015300000000000001,75.5,22.8,23.30234488906081
Nigeria,NGA,Non US,#545454,5.219567775726318,404653e6,157,0.5302561405141523,Low,48.12,0.642870263914071,0.06659999999999999,55.2,13.9,26.726295746675046
Norway,NOR,Non US,#545454,7.596331596374512,371075e6,1,0.9512483553214962,Very High,89.55,0.841951230433606,0.0021000000000000003,82.5,24.7,26.63967003545724
Pakistan,PAK,Non US,#545454,5.548508167266846,278655e6,150,0.5595986310062098,Medium,46.61,0.555905449892576,0.0629,66.5,17.8,26.353240294457887
Panama,PAN,Non US,#545454,6.117638111114502,57820916600,66,0.7848489537681295,High,71.91,0.720702274059854,0.0143,78,24,24.7806164260551
Paraguay,PRY,Non US,#545454,5.801380157470703,27424071373,110,0.7015358727488171,High,63.69,0.676362256056304,0.0184,74.2,21.2,24.034686981932783
Peru,PER,Non US,#545454,5.700628757476807,19164e7,89,0.7478389874409244,High,68.75,0.68678170812875206,0.0121,75.9,21.6,25.97888444896133
Philippines,PHL,Non US,#545454,5.430832862854004,304889e6,113,0.6957943328974255,Medium,62.68,0.786344665733629,0.022699999999999998,69.3,17.6,26.443213612887387
Poland,POL,Non US,#545454,6.162076473236084,4714e8,33,0.8604198352360831,Very High,81.69,0.726739972658583,0.0040999999999999995,77.8,21.8,26.878972827448443
Portugal,PRT,Non US,#545454,5.446637153625488,205184e6,41,0.8447151672085784,Very High,84.66,0.736894766097802,0.0031,81.5,24.5,26.047172974493446
Romania,ROU,Non US,#545454,5.968870639801025,187806e6,52,0.806921214299936,Very High,74.05,0.690152414550217,0.0072,75.2,20.1,25.95867535209201
Russia,RUS,Non US,#545454,5.854945659637451,128473e7,49,0.8147656495518454,Very High,68.94,0.690857736593115,0.006900000000000001,71.9,19.4,27.881569695466602
Rwanda,RWA,Non US,#545454,3.3329899311065674,8475681533,158,0.5203023732923725,Low,52.26,0.799810858344565,0.030100000000000002,68,18.5,22.860466903852817
Saudi Arabia,SAU,Non US,#545454,6.473921298980713,644936e6,39,0.8539633803400953,Very High,64.15,0.58287128659882,0.0067,74.8,18.7,27.192416924012875
Senegal,SEN,Non US,#545454,4.594533920288086,14683747154,164,0.4987048593850021,Low,54.76,0.685122893730414,0.0338,66.8,16.9,23.410007083282654
Serbia,SRB,Non US,#545454,5.7527546882629395,38299854688,67,0.7854727479931904,High,71.49,0.720022824947267,0.0052,76.3,19.8,24.368711939078818
Singapore,SGP,Non US,#545454,6.033480644226074,309764e6,9,0.930104591364359,Very High,84.08,0.711583439100041,0.0022,82.9,25,26.459076554174388
Slovakia,SVK,Non US,#545454,5.993163108825684,89768598023,38,0.8529800895385142,Very High,79.83,0.678731712050063,0.0048,77.4,21.3,25.220501063159613
Slovenia,SVN,Non US,#545454,5.936821460723877,44708598649,25,0.8935430504652823,Very High,84.6,0.785523889711521,0.0018,80.9,23.7,24.52343168357875
South Africa,ZAF,Non US,#545454,4.769739627838135,295763e6,113,0.6957324537270522,Medium,65.17,0.763928748532627,0.03,63.6,16.6,26.412824294882824
South Korea,KOR,Non US,#545454,5.970564365386963,14148e8,22,0.9003574927047293,Very High,85.37,0.648623043995878,0.0029,82.7,25.3,27.978009294277737
Spain,ESP,Non US,#545454,6.318612098693848,123726e7,26,0.8888670933931713,Very High,86.72,0.73844911467769,0.0026,83.1,25.4,27.84392037318664
Sweden,SWE,Non US,#545454,7.368744373321533,51446e7,7,0.9315839061660123,Very High,88.63,0.815412852691911,0.0024,82.4,24.6,26.966383643814318
Switzerland,CHE,Non US,#545454,7.45851993560791,668745e6,2,0.9431886822134562,Very High,89.04,0.775890802752056,0.0038,83.3,25.5,27.228668658493163
Tajikistan,TJK,Non US,#545454,5.1037211418151855,6951657159,127,0.6468118707664386,Medium,52.15,0.679321271359005,0.0303,70.8,17.7,22.662245908244664
Tanzania,TZA,Non US,#545454,2.9027342796325684,47388395823,154,0.5331760337662841,Low,49.9,0.715725990059733,0.039700000000000006,63.9,17.5,24.58164322181488
Thailand,THA,Non US,#545454,6.073639869689941,411755e6,83,0.7480499005885282,High,66.72,0.699064640254403,0.0085,75.5,22.1,26.743694349221265
Tunisia,TUN,Non US,#545454,4.521453380584717,42062549395,95,0.7323536768876926,High,71.74,0.635916701243237,0.0116,76,20.1,24.462423618674592
Turkey,TUR,Non US,#545454,5.326221942901611,863722e6,64,0.7868511547990595,High,67.26,0.623026636794988,0.0108,76.4,21.2,27.484516794715592
Ukraine,UKR,Non US,#545454,4.028690338134766,93270479389,88,0.7460888804361642,High,67.57,0.699811758984328,0.0078,72.5,19.1,25.25876948947041
United Arab Emirates,ARE,Non US,#545454,6.8309502601623535,357045e6,34,0.8621799163987712,Very High,74.58,0.639027558645999,0.0077,77.2,20.2,26.601127661202533
United Kingdom,GBR,Non US,#545454,6.824283599853516,265085e7,14,0.9202139670337001,Very High,88.47,0.752134600610496,0.0037,81.4,24.2,28.605901459212863
United States,USA,US,red,6.803599834442139,186245e8,13,0.9223928743957234,Very High,86.4,0.721992347709239,0.0057,78.5,23.3,30.555499034196238
Uruguay,URY,Non US,#545454,6.171485424041748,52687612262,55,0.8021411935198802,Very High,80.12,0.680505334795007,0.0073,77.1,22.3,24.687646203420332
Yemen,YEM,Non US,#545454,3.8256309032440186,18213328571,178,0.46158712994690765,Low,38.22,0.516216650186404,0.0432,65.3,16.4,23.625419502065693
Zimbabwe,ZWE,Non US,#545454,3.7354001998901367,16619960400,156,0.5319951308483715,Low,42.59,0.710286080812047,0.038200000000000005,61.4,17.5,23.533870243699393
